,id,size
1206,139592405,
1207,139327064,
1208,139314629,
1209,138293420,
1210,131276774,
1211,139212188,
1212,139705859,
1213,139572668,
1214,139964882,
1215,133063163,
1216,139712474,
1217,139682360,
1218,139718033,
1219,139346531,
1220,133255757,
1221,139967579,
1222,140025539,
1223,132797264,
1224,139275503,
1225,138539951,
1226,138201629,
1227,132925229,
1228,138277694,
1229,134428457,
1230,135062966,
1231,138892841,
1232,138299075,
1233,140033417,
1234,139785149,
1235,131309042,
1236,139599170,
1237,139735364,
1238,140016509,
1239,139508183,
1240,140042657,
1241,139638716,
1242,138139100,
1243,139912895,
1244,140039285,
1245,140012411,
1246,140027102,
1247,135401060,
1248,139294835,
1249,139926350,
1250,139377026,
1251,135469721,
1252,139504322,
1253,135647927,
1254,138013973,
1255,139587788,
1256,119728694,
1257,137126918,
1258,140001701,
1259,140026538,
1260,139105979,
1261,139599179,
1262,139257857,
1263,139504898,
1264,139920527,
1265,139309850,
1266,139738385,
1267,134747807,
1268,139830161,
1269,137907254,
1270,139919927,
1271,138920330,
1272,137894615,
1273,139260350,
1274,138159269,
1275,139644797,
1276,139800626,
1277,139254338,
1278,137245961,
1279,139811705,
1280,139776623,
1281,135559583,
1282,130795586,
1283,138393647,
1284,139385555,
1285,139619615,
1286,139365752,
1287,137584307,
1288,140031026,
1289,139619450,
1290,139239959,
1291,138529742,
1292,139660604,
1293,139965437,
1294,139682702,
1295,138805217,
1296,121736777,
1297,139919981,
1298,139911014,
1299,139646411,
1300,134842307,
1301,130245563,
1302,138530273,
1303,136061426,
1304,139688459,
1305,139452656,
1306,138284945,
1307,139884845,
1308,136879478,
1309,139454834,
1310,139638821,
1311,137730056,
1312,139778873,
1313,136681202,
1314,137808509,
1315,140042234,
1316,134679002,
1317,139534817,
1318,137058722,
1319,139827893,
1320,137337200,
1321,139778564,
1322,139350260,
1323,138153974,
1324,139887962,
1325,139967252,
1326,139622387,
1327,139623212,
1328,131329958,
1329,139588946,
1330,138623516,
1331,139737677,
1332,139528499,
1333,139626605,
1334,137326787,
1335,139299548,
1336,137227952,
1337,136136822,
1338,139603346,
1339,139261343,
1340,139622408,
1341,136754312,
1342,138879707,
1343,139855187,
1344,139565183,
1345,137536166,
1346,139456286,
1347,139994213,
1348,139264835,
1349,86170281,
1350,139799930,
1351,137658761,
1352,139576172,
1353,138205934,
1354,139774880,
1355,138002924,
1356,139809008,
1357,136699082,
1358,138653057,
1359,139696106,
1360,138505769,
1361,139469858,
1362,139382837,
1363,139455146,
1364,139504820,
1365,138118124,
1366,139464896,
1367,139592849,
1368,140053184,
1369,135533249,
1370,136584233,
1371,139942220,
1372,139395167,
1373,137367581,
1374,139456319,
1375,136508063,
1376,131943518,
1377,137364749,
1378,139273712,
1379,133699259,
1380,120528728,
1381,131840876,
1382,137658683,
1383,138763457,
1384,139706333,
1385,139885727,
1386,138567446,
1387,138510170,
1388,139350539,
1389,137762531,
1390,139836443,
1391,139525181,
1392,138433697,
1393,139273724,
1394,139130195,
1395,139627430,
1396,139205525,
1397,139803293,
1398,139856822,
1399,139662413,
1400,140000282,
1401,138007310,
1402,139446575,
1403,139378556,
1404,137669951,
1405,138316925,
1406,139487132,
1407,138605018,
1408,139689197,
1409,139963919,
1410,139613495,
1411,139955120,
1412,139658690,
1413,138518036,
1414,139912898,
1415,139467143,
1416,133105691,
1417,137384426,
1418,139949444,
1419,139975598,
1420,139361840,
1421,139782053,
1422,138798395,
1423,137587550,
1424,139407206,
1425,139850699,
1426,137491856,
1427,132307091,
1428,139412462,
1429,139572824,
1430,138476795,
1431,135145481,
1432,139919507,
1433,139993013,
1434,139002617,
1435,139654736,
1436,139771823,
1437,139850954,
1438,137324801,
1439,137899178,
1440,139953596,
1441,138253991,
1442,137469938,
1443,86033514,
1444,139704413,
1445,137634002,
1446,139392716,
1447,139861391,
1448,139527629,
1449,86149356,
1450,138074903,
1451,138090980,
1452,139507586,
1453,140015735,
1454,139575254,
1455,139314509,
1456,139846004,
1457,136775957,
1458,138762506,
1459,139454201,
1460,139358291,
1461,139911263,
1462,137658830,
1463,134033807,
1464,132754670,
1465,139480826,
1466,138644888,
1467,140028362,
1468,139251194,
1469,135596486,
1470,131349491,
1471,134189012,
1472,139912919,
1473,139483574,
1474,140018729,
1475,133868708,
1476,139770464,
1477,139705433,
1478,138086597,
1479,134661779,
1480,139766150,
1481,139545704,
1482,138224525,
1483,134961839,
1484,130772114,
1485,134081069,
1486,86295588,
1487,136003511,
1488,139777736,
1489,139506521,
1490,139589303,
1491,136588496,
1492,139467479,
